Latitude,Longitude,Total Ports,EV Connector Type
40.674253,-73.985057,0,Simultaneous DCFC Ports
40.674253,-73.985057,4,TESLA
40.674612,-73.944569,0,CHADEMO
40.674612,-73.944569,2,J1772
40.674612,-73.944569,0,J1772COMBO
40.674612,-73.944569,0,Simultaneous DCFC Ports
40.674612,-73.944569,0,TESLA
40.674844,-73.989457,0,CHADEMO
40.674844,-73.989457,2,J1772
40.674844,-73.989457,0,J1772COMBO
40.674844,-73.989457,0,Simultaneous DCFC Ports
40.674844,-73.989457,0,TESLA
40.674884,-73.989524,0,CHADEMO
40.674884,-73.989524,2,J1772
40.674884,-73.989524,0,J1772COMBO
40.674884,-73.989524,0,Simultaneous DCFC Ports
40.674884,-73.989524,0,TESLA
40.67726,-73.440667,0,CHADEMO
40.67726,-73.440667,1,J1772
40.67726,-73.440667,0,J1772COMBO
40.67726,-73.440667,0,Simultaneous DCFC Ports
40.67726,-73.440667,0,TESLA
40.677402,-73.745064,0,CHADEMO
40.677402,-73.745064,2,J1772
40.677402,-73.745064,0,J1772COMBO
40.677402,-73.745064,0,Simultaneous DCFC Ports
40.677402,-73.745064,0,TESLA
40.677433,-73.990299,0,CHADEMO
40.677433,-73.990299,1,J1772
40.677433,-73.990299,0,J1772COMBO
40.677433,-73.990299,0,Simultaneous DCFC Ports
40.677433,-73.990299,2,TESLA
40.67746,-73.965421,0,CHADEMO
40.67746,-73.965421,0,J1772
40.67746,-73.965421,0,J1772COMBO
40.67746,-73.965421,0,Simultaneous DCFC Ports
40.67746,-73.965421,4,TESLA
40.677977,-73.990135,0,CHADEMO
40.677977,-73.990135,0,J1772
40.677977,-73.990135,0,J1772COMBO
40.677977,-73.990135,0,Simultaneous DCFC Ports
40.677977,-73.990135,4,TESLA
40.678067,-73.8997292,0,CHADEMO
40.678067,-73.8997292,1,J1772
40.678067,-73.8997292,0,J1772COMBO
40.678067,-73.8997292,0,Simultaneous DCFC Ports
40.678067,-73.8997292,0,TESLA
40.679727,-73.931347,0,CHADEMO
40.679727,-73.931347,2,J1772
40.679727,-73.931347,0,J1772COMBO
40.679727,-73.931347,0,Simultaneous DCFC Ports
40.679727,-73.931347,0,TESLA
40.679983,-73.946504,0,CHADEMO
40.679983,-73.946504,0,J1772
40.679983,-73.946504,0,J1772COMBO
40.679983,-73.946504,0,Simultaneous DCFC Ports
40.679983,-73.946504,2,TESLA
40.680484,-73.996719,0,CHADEMO
40.680484,-73.996719,2,J1772
40.680484,-73.996719,0,J1772COMBO
40.680484,-73.996719,0,Simultaneous DCFC Ports
40.680484,-73.996719,0,TESLA
40.68117,-73.845621,0,CHADEMO
40.68117,-73.845621,1,J1772
40.68117,-73.845621,0,J1772COMBO
40.68117,-73.845621,0,Simultaneous DCFC Ports
40.68117,-73.845621,0,TESLA
40.681251,-73.981971,0,CHADEMO
40.681251,-73.981971,0,J1772
40.681251,-73.981971,0,J1772COMBO
40.681251,-73.981971,0,Simultaneous DCFC Ports
40.681251,-73.981971,4,TESLA
40.681274,-73.981216,0,CHADEMO
40.681274,-73.981216,0,J1772
